Date,Close,Volume
2015-03-19,14.5,300
2015-03-20,14.5,700
2015-03-23,13.75,11100
2015-03-24,13.079999923706056,9400
2015-03-25,13.449999809265137,31200
2015-03-26,14.25,42900
2015-03-27,14.25,14600
2015-03-30,14.449999809265137,10800
2015-03-31,14.010000228881836,27100
2015-04-01,13.850000381469728,77700
2015-04-02,13.90999984741211,174100
2015-04-06,14.5600004196167,239100
2015-04-07,14.550000190734863,84500
2015-04-08,14.4399995803833,76500
2015-04-09,14.239999771118164,133700
2015-04-10,14.029999732971191,266000
2015-04-13,13.859999656677246,288500
2015-04-14,13.869999885559082,104500
2015-04-15,13.9399995803833,155400
2015-04-16,13.949999809265137,177400
2015-04-17,13.960000038146973,212800
2015-04-20,14.010000228881836,119700
2015-04-21,13.9399995803833,403700
2015-04-22,13.949999809265137,377700
2015-04-23,13.869999885559082,582000
2015-04-24,13.970000267028809,538400
2015-04-27,13.960000038146973,222000
2015-04-28,13.960000038146973,131100
2015-04-29,13.93000030517578,153000
2015-04-30,14.140000343322754,127900
2015-05-01,14.300000190734863,339200
2015-05-04,14.270000457763672,87200
2015-05-05,14.229999542236328,78100
2015-05-06,14.130000114440918,80200
2015-05-07,14.0600004196167,168100
2015-05-08,14.289999961853027,149900
2015-05-11,14.4399995803833,111300
2015-05-12,14.420000076293944,108000
2015-05-13,14.539999961853027,149900
2015-05-14,14.399999618530272,372900
2015-05-15,14.56999969482422,68100
2015-05-18,14.609999656677246,155900
2015-05-19,14.720000267028809,159200
2015-05-20,14.699999809265137,118600
2015-05-21,14.81999969482422,236600
2015-05-22,14.899999618530272,97000
2015-05-26,14.90999984741211,70600
2015-05-27,15.039999961853027,155200
2015-05-28,15.1899995803833,109100
2015-05-29,15.140000343322754,89500
2015-06-01,15.300000190734863,94400
2015-06-02,15.140000343322754,89600
2015-06-03,15.039999961853027,92300
2015-06-04,14.869999885559082,131100
2015-06-05,14.8100004196167,269600
2015-06-08,14.9399995803833,126300
2015-06-09,15.0600004196167,158600
2015-06-10,15.0,152400
2015-06-11,14.829999923706056,144100
2015-06-12,14.65999984741211,118900
2015-06-15,14.5600004196167,127700
2015-06-16,14.649999618530272,122200
2015-06-17,14.710000038146973,134200
2015-06-18,14.529999732971191,361500
2015-06-19,14.75,784300
2015-06-22,14.510000228881836,131900
2015-06-23,14.539999961853027,147300
2015-06-24,14.470000267028809,142700
2015-06-25,13.989999771118164,294600
2015-06-26,14.020000457763672,1485400
2015-06-29,13.380000114440918,246000
2015-06-30,13.43000030517578,142600
2015-07-01,13.729999542236328,154800
2015-07-02,13.329999923706056,113300
2015-07-06,13.369999885559082,109700
2015-07-07,13.40999984741211,106300
2015-07-08,13.3100004196167,83000
2015-07-09,13.31999969482422,129600
2015-07-10,13.399999618530272,139800
2015-07-13,13.210000038146973,137400
2015-07-14,13.15999984741211,72200
2015-07-15,13.380000114440918,119600
2015-07-16,13.5,118200
2015-07-17,13.59000015258789,64900
2015-07-20,13.550000190734863,74800
2015-07-21,13.489999771118164,61300
2015-07-22,13.529999732971191,72900
2015-07-23,13.539999961853027,99200
2015-07-24,13.5,123700
2015-07-27,13.15999984741211,101800
2015-07-28,12.8100004196167,246200
2015-07-29,12.739999771118164,312700
2015-07-30,12.699999809265137,251800
2015-07-31,12.970000267028809,140800
2015-08-03,13.09000015258789,112400
2015-08-04,12.720000267028809,90100
2015-08-05,12.65999984741211,73300
2015-08-06,12.31999969482422,92500
2015-08-07,12.289999961853027,67400
2015-08-10,12.029999732971191,186800
2015-08-11,12.829999923706056,250800
2015-08-12,12.649999618530272,142300
2015-08-13,12.640000343322754,140100
2015-08-14,12.899999618530272,211700
2015-08-17,13.359999656677246,170400
2015-08-18,13.199999809265137,74900
2015-08-19,12.829999923706056,117600
2015-08-20,12.800000190734863,104500
2015-08-21,12.5,121500
2015-08-24,12.039999961853027,127400
2015-08-25,12.329999923706056,182500
2015-08-26,12.25,135000
2015-08-27,12.350000381469728,188000
2015-08-28,12.449999809265137,119500
2015-08-31,12.350000381469728,88000
2015-09-01,12.199999809265137,177500
2015-09-02,12.3100004196167,123700
2015-09-03,12.460000038146973,97400
2015-09-04,12.399999618530272,91800
2015-09-08,13.3100004196167,222900
2015-09-09,13.399999618530272,173500
2015-09-10,13.40999984741211,139700
2015-09-11,13.8100004196167,165300
2015-09-14,13.789999961853027,82300
2015-09-15,13.949999809265137,154800
2015-09-16,14.050000190734863,104300
2015-09-17,14.350000381469728,187400
2015-09-18,14.529999732971191,1098900
2015-09-21,14.5,110500
2015-09-22,14.229999542236328,87500
2015-09-23,13.989999771118164,69400
2015-09-24,13.989999771118164,94500
2015-09-25,13.56999969482422,93300
2015-09-28,13.270000457763672,75900
2015-09-29,13.170000076293944,94500
2015-09-30,13.359999656677246,126800
2015-10-01,13.31999969482422,83600
2015-10-02,13.460000038146973,74900
2015-10-05,13.449999809265137,96800
2015-10-06,13.359999656677246,54900
2015-10-07,13.649999618530272,60200
2015-10-08,13.59000015258789,56500
2015-10-09,13.520000457763672,57600
2015-10-12,13.390000343322754,44000
2015-10-13,13.09000015258789,77300
2015-10-14,12.869999885559082,73900
2015-10-15,13.220000267028809,84700
